trial,hop,sender,receiver,forwarded,hint_content,drift_l2_state,IQx,Z_score,alert,propagation_risk,influence_score
0,0,agent_A,agent_B,0,The answer to 82 add 15 is 102.,,,,0,0.0,0.0
0,1,agent_B,agent_C,1,I computed 82 add 15 = 97 independently.,,,,0,0.0,0.0
0,2,agent_C,agent_D,1,I computed 82 add 14 = 96 independently.,,,,0,0.0,0.0
1,0,agent_A,agent_B,0,The answer to 4 subtract 95 is -86.,0.6944308876991272,,,0,0.0,-0.0050357310101389885
1,1,agent_B,agent_C,1,I computed 4 subtract 95 = -91 independently.,0.7137593626976013,,,0,0.0,0.031843531876802444
1,2,agent_C,agent_D,0,I computed 2 subtract 94 = -90 independently.,0.733180820941925,,,0,0.0,-0.003091607242822647
2,0,agent_A,agent_B,1,The answer to 36 multiply 32 is 1157.,0.6981934309005737,,,0,0.0,-0.010122568346560001
2,1,agent_B,agent_C,1,The answer to 35 multiply 34 is 1158.,0.6791573762893677,,,0,0.0,0.008135879412293434
2,2,agent_C,agent_D,0,The answer to 37 multiply 34 is 1156.,0.6790246963500977,,,0,0.0,0.0026412871666252613
3,0,agent_A,agent_B,1,The answer to 29 add 18 is 52.,0.694383978843689,,,0,0.0,-0.012645079754292965
3,1,agent_B,agent_C,1,The answer to 30 add 18 is 52.,0.6596843004226685,,,0,0.0,-0.022587265819311142
3,2,agent_C,agent_D,0,The answer to 30 add 16 is 50.,0.7382928729057312,,,0,0.0,-0.015714460983872414
4,0,agent_A,agent_B,0,The answer to 95 subtract 14 is 86.,0.6770440340042114,0.9749610379319888,,0,0.0,-0.026386409997940063
4,1,agent_B,agent_C,1,I computed 95 subtract 14 = 81 independently.,0.7176055908203125,1.056610086650192,,0,0.0,-0.02328515611588955
4,2,agent_C,agent_D,0,I computed 95 subtract 12 = 82 independently.,0.7026694416999817,0.9583836118539548,,0,0.0,-0.0183908399194479
5,0,agent_A,agent_B,0,The answer to 87 multiply 95 is 8270.,0.7005926370620728,1.0089057152741225,,0,0.0,-0.01716036908328533
5,1,agent_B,agent_C,0,I computed 87 multiply 95 = 8265 independently.,0.7346035242080688,1.0547686719217024,,0,0.0,0.4555349349975586
5,2,agent_C,agent_D,0,I computed 87 multiply 95 = 8265 independently.,0.7005926370620728,0.9758561591469198,,0,0.0,0.45941898226737976
6,0,agent_A,agent_B,0,The answer to 70 add 12 is 87.,0.7035229206085205,1.013091324103095,,0,0.0,0.009389425627887249
6,1,agent_B,agent_C,0,I computed 70 add 12 = 82 independently.,0.7035229206085205,0.9856570319338143,,0,0.0,0.45982369780540466
6,2,agent_C,agent_D,0,I computed 70 add 12 = 82 independently.,0.7035229206085205,1.001213198759971,,0,0.0,0.4633408188819885
7,0,agent_A,agent_B,0,The answer to 76 subtract 55 is 26.,0.7099564075469971,1.0195935522184658,1.7219057985717947,0,0.0,-0.02557278797030449
7,1,agent_B,agent_C,0,I computed 76 subtract 55 = 21 independently.,0.7099564075469971,1.0018546256519127,-19.37160165791408,1,0.0,0.46536755561828613
7,2,agent_C,agent_D,1,I computed 76 subtract 55 = 21 independently.,0.716513991355896,1.019082440608877,1.6685865987742874,0,0.0,0.028311632573604584
8,0,agent_A,agent_B,0,The answer to 5 multiply 4 is 25.,0.7081211805343628,1.0142177439327107,0.40624880696532845,0,0.0,0.03373626619577408
8,1,agent_B,agent_C,0,I computed 5 multiply 4 = 20 independently.,0.7081211805343628,0.9974136096150067,-0.7612013793712836,0,0.0,0.4675227701663971
8,2,agent_C,agent_D,0,I computed 5 multiply 4 = 20 independently.,0.6953161358833313,0.9883333253003113,-0.006341723426547157,0,0.0,0.4699600338935852
9,0,agent_A,agent_B,0,The answer to 12 add 28 is 45.,0.7217391729354858,1.0319492844783964,3.038185508308565,1,0.0,0.0007393261766992509
9,1,agent_B,agent_C,0,I computed 12 add 28 = 40 independently.,0.7217391729354858,1.0179106715892976,0.6685643935044858,0,0.0,0.4713212251663208
9,2,agent_C,agent_D,1,I computed 12 add 28 = 40 independently.,0.6789938807487488,0.9657183941970401,-1.1842186849306477,0,0.0,0.002395430114120245
10,0,agent_A,agent_B,0,The answer to 30 subtract 65 is -30.,0.7258051037788391,1.0359858631067365,2.8180937742719947,1,0.0,-0.01447246503084898
10,1,agent_B,agent_C,0,I computed 30 subtract 65 = -35 independently.,0.7258051037788391,1.0223220380030937,0.4572824406028168,0,0.0,0.3642878234386444
10,2,agent_C,agent_D,1,I computed 30 subtract 65 = -35 independently.,0.6766598224639893,0.9629831885726337,-0.7263044150767837,0,0.0,-0.013607597909867764
11,0,agent_A,agent_B,1,The answer to 78 multiply 4 is 317.,0.7120802998542786,1.0142744757577242,0.007116790098878268,0,0.0,0.0019792697858065367
11,1,agent_B,agent_C,1,The answer to 79 multiply 4 is 319.,0.6800782084465027,0.9553553698071261,-2.0584166007983926,1,0.0,-0.03166665509343147
11,2,agent_C,agent_D,0,The answer to 79 multiply 2 is 318.,0.6998511552810669,0.9974617976375032,1.131974248178406,0,0.0,-0.04273684322834015
12,0,agent_A,agent_B,0,The answer to 72 add 26 is 103.,0.7178987264633179,1.0171086448396658,0.36123653967934105,0,0.0,0.025625664740800858
12,1,agent_B,agent_C,0,I computed 72 add 26 = 98 independently.,0.7258198261260986,1.0236658537735837,0.5066822412164425,0,0.0,0.33704036474227905
