task_id,condition,mitigation_enabled,quarantined,predicted,expected,correct,drift_l2_state,IQx,Z_score,alert,influence_score,probe_IQx,probe_Z_score,valid,confidence,robust_z,risk_score,risk_level,policy_action,event_type
math_000,A,0,0,97,97,1,0.7187856435775757,1.0304084277429908,1.332591791741059,0,-0.021852679550647736,,,0,medium,1.332591791741059,,unknown,,applied
math_001,A,0,0,-91,-91,1,0.7036679983139038,0.9979615486024918,-0.21454342852868527,0,0.013215404935181141,,,0,medium,-0.21454342852868527,,unknown,,applied
math_002,A,0,0,1152,1152,1,0.7266983389854431,1.0353360724665654,1.6685653456009362,0,0.0013480324996635318,,,0,medium,1.6685653456009362,,unknown,,applied
math_003,A,0,0,47,47,1,0.6910225749015808,0.9845083720477131,-0.5099317969906576,0,-0.004434669855982065,,,0,medium,-0.5099317969906576,,unknown,,applied
math_004,A,0,0,81,81,1,0.7212589979171753,1.033954081692941,1.0760271511447772,0,-0.03138328716158867,,,0,medium,1.0760271511447772,,unknown,,applied
math_005,A,0,0,8265,8265,1,0.7183957099914551,1.023507214696251,0.7066516217420339,0,0.0010227812454104424,,,0,medium,0.7066516217420339,,unknown,,applied
math_006,A,0,0,82,82,1,0.7200983166694641,1.0127497097550966,0.017561049878081818,0,-0.0693693608045578,,,0,medium,0.017561049878081818,,unknown,,applied
math_007,A,0,0,21,21,1,0.7174811363220215,0.9984545598030535,-0.7100739080132832,0,-0.02173314057290554,,,0,medium,-0.7100739080132832,,unknown,,applied
math_008,A,0,0,20,20,1,0.6644548177719116,0.9246625576643885,-3.418478776776252,0,0.0519220232963562,,,0,medium,-3.418478776776252,,unknown,,applied
math_009,A,0,0,40,40,1,0.6858325004577637,0.9544119736074048,-2.3304055644102655,0,0.038144584745168686,,,0,medium,-2.3304055644102655,,unknown,,applied
math_010,A,0,0,-35,-35,1,0.7074635028839111,0.9854083507118676,-0.5934682944813185,0,0.033395085483789444,,,0,medium,-0.5934682944813185,,unknown,,applied
math_011,A,0,0,312,312,1,0.7128705382347107,1.000557520711043,0.07954835110081764,0,0.01935713365674019,,,0,medium,0.07954835110081764,,unknown,,applied
math_012,A,0,0,98,98,1,0.7401307225227356,1.0348919091665951,1.223961686909045,0,0.0032724193297326565,,,0,medium,1.223961686909045,,unknown,,applied
